,AXP
2016-01-19,57.96572494506836
2016-01-20,58.32661437988281
2016-01-21,57.96572494506836
2016-01-22,50.95134735107422
2016-01-25,50.91432571411133
2016-01-26,50.97911071777344
2016-01-27,50.45164489746094
2016-01-28,48.93402099609375
2016-01-29,49.50776290893555
2016-02-01,50.61821365356445
2016-02-02,49.65582275390625
2016-02-03,50.07223892211914
2016-02-04,50.32209396362305
2016-02-05,49.95193481445313
2016-02-08,48.48984909057617
2016-02-09,48.70268630981445
2016-02-10,48.3880500793457
2016-02-11,47.29610061645508
2016-02-12,48.730445861816406
2016-02-16,49.21163940429688
2016-02-17,49.60955429077149
2016-02-18,50.10926055908203
2016-02-19,50.62745666503906
2016-02-22,51.47880554199219
2016-02-23,50.99761581420898
2016-02-24,50.56270217895508
2016-02-25,51.25672912597656
2016-02-26,51.24746704101562
2016-02-29,51.43254852294922
2016-03-01,52.56149673461914
2016-03-02,52.857627868652344
2016-03-03,53.7552490234375
2016-03-04,53.940330505371094
2016-03-07,54.59733963012695
2016-03-08,54.9952621459961
2016-03-09,54.64361190795898
2016-03-10,54.36599731445313
2016-03-11,55.02301788330078
2016-03-14,55.12481689453125
2016-03-15,54.8101806640625
2016-03-16,55.2451057434082
2016-03-17,55.59674835205078
2016-03-18,56.65167999267578
2016-03-21,56.64242553710938
2016-03-22,56.08720397949219
2016-03-23,56.105712890625
2016-03-24,55.95764923095703
2016-03-28,55.7818374633789
2016-03-29,56.07794570922852
2016-03-30,55.79106903076172
2016-03-31,56.8182487487793
2016-04-01,56.5406265258789
2016-04-04,56.09645080566406
2016-04-05,55.69854354858398
2016-04-06,55.6799430847168
2016-04-07,54.73149490356445
2016-04-08,55.32660675048828
2016-04-11,55.60555648803711
2016-04-12,56.42383575439453
2016-04-13,57.80001831054688
2016-04-14,58.12546920776367
2016-04-15,57.78142166137695
2016-04-18,58.19987487792969
2016-04-19,59.111122131347656
2016-04-20,60.45942306518555
2016-04-21,61.00804138183594
2016-04-22,61.30559158325195
2016-04-25,61.09172058105469
2016-04-26,61.55664443969727
2016-04-27,61.58454895019531
2016-04-28,61.22190856933594
2016-04-29,60.84066772460938
2016-05-02,61.07313919067383
2016-05-03,60.30134201049805
2016-05-04,59.75272750854492
2016-05-05,59.43657684326172
2016-05-06,59.98520278930664
2016-05-09,59.49235916137695
2016-05-10,60.29204177856445
2016-05-11,60.0595817565918
2016-05-12,59.827110290527344
2016-05-13,59.62255096435547
2016-05-16,59.57605361938477
2016-05-17,58.35793685913086
2016-05-18,59.06463241577149
2016-05-19,58.3393440246582
2016-05-20,59.43657684326172
2016-05-23,59.12972259521485
2016-05-24,60.31994247436523
2016-05-25,60.72908020019531
2016-05-26,60.65469741821289
2016-05-27,60.92434310913086
2016-05-31,61.14752197265625
2016-06-01,61.28700637817383
2016-06-02,61.75192260742188
2016-06-03,60.89644241333008
2016-06-06,61.31488800048828
2016-06-07,61.26839065551758
2016-06-08,61.61244583129883
2016-06-09,61.10101318359375
2016-06-10,60.41292190551758
2016-06-13,59.20410537719727
2016-06-14,56.7864875793457
2016-06-15,57.11193084716797
2016-06-16,57.58616256713867
2016-06-17,57.52106857299805
2016-06-20,57.93020248413086
2016-06-21,57.92090606689453
2016-06-22,57.60475158691406
2016-06-23,58.81356430053711
2016-06-24,55.847328186035156
2016-06-27,53.62496566772461
2016-06-28,53.83883285522461
2016-06-29,55.72659301757813
2016-06-30,56.782615661621094
2016-07-01,56.717201232910156
2016-07-05,55.27801513671875
2016-07-06,55.5864143371582
2016-07-07,55.894813537597656
2016-07-08,57.46483993530274
2016-07-11,58.09097671508789
2016-07-12,58.87599563598633
2016-07-13,58.96944046020508
2016-07-14,59.44606018066406
2016-07-15,59.60492706298828
2016-07-18,59.80119323730469
2016-07-19,59.96006393432617
2016-07-20,60.25911331176758
2016-07-21,59.27784729003906
2016-07-22,60.07219314575195
2016-07-25,60.11892700195313
2016-07-26,60.15631866455078
2016-07-27,60.36191177368164
2016-07-28,60.5488166809082
2016-07-29,60.24042510986328
2016-08-01,59.93202209472656
2016-08-02,59.315223693847656
2016-08-03,59.65166473388672
2016-08-04,59.75445938110352
2016-08-05,61.23102569580078
2016-08-08,61.52074432373047
2016-08-09,61.10954666137695
2016-08-10,60.5020866394043
2016-08-11,61.19365310668945
2016-08-12,61.10020065307617
2016-08-15,61.33383178710938
2016-08-16,61.02544021606445
2016-08-17,61.38057327270508
2016-08-18,61.33383178710938
2016-08-19,61.24037551879883
2016-08-22,61.08150100708008
2016-08-23,61.38057327270508
2016-08-24,60.89461135864258
2016-08-25,60.74506759643555
2016-08-26,60.5488166809082
2016-08-29,61.23102569580078
2016-08-30,61.165611267089844
2016-08-31,61.28711318969727
2016-09-01,60.61423873901367
2016-09-02,60.92264175415039
2016-09-06,61.45532989501953
2016-09-07,61.85718154907226
2016-09-08,61.90390014648438
2016-09-09,60.85720825195313
2016-09-12,61.58616256713867
2016-09-13,60.14696502685547
2016-09-14,59.32458114624024
2016-09-15,59.65166473388672
2016-09-16,59.49279403686523
2016-09-19,59.866600036621094
2016-09-20,59.54887008666992
2016-09-21,60.07219314575195
2016-09-22,60.39928817749024
2016-09-23,59.67035293579102
2016-09-26,59.26850509643555
2016-09-27,60.07219314575195
2016-09-28,60.0161361694336
2016-09-29,59.22177124023438
2016-09-30,59.847923278808594
2016-10-03,59.63296508789063
2016-10-04,59.72642517089844
2016-10-05,60.44963836669922
2016-10-06,58.176673889160156
2016-10-07,58.00761795043945
2016-10-10,58.13909530639648
2016-10-11,57.16228485107422
2016-10-12,57.00261688232422
2016-10-13,56.7396354675293
2016-10-14,56.49543762207031
2016-10-17,56.2606201171875
2016-10-18,56.4296875
2016-10-19,57.52859115600586
2016-10-20,62.72260665893555
2016-10-21,63.26736831665039
2016-10-24,63.01376724243164
2016-10-25,62.68502807617188
2016-10-26,62.74138641357422
